web_name,team name,first_name,second_name,squad_number,now_cost,selected_by_percent,total_points,points_per_game,minutes,bonus
Ospina,Arsenal,David,Ospina,13,48,0.2,0,0,0,0
Cech,Arsenal,Petr,Cech,33,54,5.2,63,3.9,1440,4
Martinez,Arsenal,Damian Emiliano,Martinez,26,40,0.6,0,0,0,0
Koscielny,Arsenal,Laurent,Koscielny,6,60,1.4,48,3.7,1164,6
Mertesacker,Arsenal,Per,Mertesacker,4,48,0.5,14,3.5,333,2
Gabriel,Arsenal,Gabriel Armando,de Abreu,5,50,0,0,0,0,0
Bellerín,Arsenal,Héctor,Bellerín,24,59,9.4,57,3.6,1440,4
Gibbs,West Brom,Kieran,Gibbs,3,50,0.4,30,2.3,1096,0
Jenkinson,Arsenal,Carl,Jenkinson,25,45,0.1,0,0,0,0
Monreal,Arsenal,Nacho,Monreal,18,57,13,71,4.4,1440,8
Holding,Arsenal,Rob,Holding,16,45,0.6,8,1.6,263,0
Mustafi,Arsenal,Shkodran,Mustafi,20,54,2.7,54,6,734,5
Kolasinac,Arsenal,Sead,Kolasinac,31,62,15.7,76,5.1,1297,6
Sánchez,Arsenal,Alexis,Sánchez,7,118,2.8,62,4.8,974,5
Walcott,Arsenal,Theo,Walcott,14,71,0.6,3,1,46,0
Özil,Arsenal,Mesut,Özil,11,93,2.2,57,4.4,1010,7
Cazorla,Arsenal,Santiago,Cazorla,19,69,0,0,0,0,0
Ramsey,Arsenal,Aaron,Ramsey,8,72,8.6,81,5.4,1196,7
Chamberlain,Liverpool,Alex,Oxlade-Chamberlain,21,57,1.5,33,2.1,752,2
Coquelin,Arsenal,Francis,Coquelin,34,44,0.6,5,1,148,0
Iwobi,Arsenal,Alex,Iwobi,17,51,0.5,23,2.9,474,1
Elneny,Arsenal,Mohamed,Elneny,35,43,2.5,11,2.2,263,0
Xhaka,Arsenal,Granit,Xhaka,29,53,8.5,50,3.1,1364,2
Wilshere,Arsenal,Jack,Wilshere,10,54,0.2,7,1.4,86,0
Giroud,Arsenal,Olivier,Giroud,12,82,1.2,33,2.5,253,4
Welbeck,Arsenal,Danny,Welbeck,23,73,0.8,33,3.3,534,3
Pérez,Arsenal,Lucas,Pérez,28,74,0.1,0,0,0,0
Lacazette,Arsenal,Alexandre,Lacazette,9,103,9.6,66,4.1,1100,3
Begovic,Bournemouth,Asmir,Begovic,27,45,4.9,61,3.8,1440,4
Boruc,Bournemouth,Artur,Boruc,1,42,1.5,0,0,0,0
Federici,Bournemouth,Adam,Federici,32,40,2.6,0,0,0,0
Francis,Bournemouth,Simon,Francis,2,44,1.1,24,1.8,1072,1
Steve Cook,Bournemouth,Steve,Cook,3,49,1.8,37,2.8,1029,4
Daniels,Bournemouth,Charlie,Daniels,11,50,12.3,55,3.4,1440,4
Adam Smith,Bournemouth,Adam,Smith,15,48,0.4,25,1.8,1046,0
Mings,Bournemouth,Tyrone,Mings,26,43,0.2,0,0,135,0
Brad Smith,Bournemouth,Bradley,Smith,14,39,2.7,0,0,0,0
Aké,Bournemouth,Nathan,Aké,5,49,4.1,46,2.9,1432,5
Arter,Bournemouth,Harry,Arter,8,49,0.4,23,2.3,787,0
Pugh,Bournemouth,Marc,Pugh,7,48,0.1,18,1.8,596,0
Surman,Bournemouth,Andrew,Surman,6,48,9.2,62,4.1,1350,7
Stanislas,Bournemouth,Junior,Stanislas,19,59,0.1,25,3.6,535,3
Gosling,Bournemouth,Dan,Gosling,4,48,0.1,11,1.6,367,0
Gradel,Bournemouth,Max,Gradel,10,50,0,0,0,0,0
Ibe,Bournemouth,Jordon,Ibe,33,49,0.4,30,2,756,0
Lewis Cook,Bournemouth,Lewis,Cook,16,44,0.9,17,1.9,553,0
Fraser,Bournemouth,Ryan,Fraser,24,51,0.3,21,2.6,467,3
Callum Wilson,Bournemouth,Callum,Wilson,13,59,3.4,26,3.7,381,3
Afobe,Bournemouth,Benik,Afobe,9,57,0.2,17,1.5,355,0
Mousset,Bournemouth,Lys,Mousset,31,49,0.1,7,1.2,107,0
King,Bournemouth,Joshua,King,17,70,1.5,40,2.9,1243,2
Defoe,Bournemouth,Jermain,Defoe,18,76,1.6,38,2.9,678,4
Mäenpää,Brighton,Niki,Mäenpää,12,40,1.1,0,0,0,0
Ryan,Brighton,Mathew,Ryan,1,45,1,57,3.6,1440,4
Dunk,Brighton,Lewis,Dunk,5,44,2.6,35,2.2,1440,0
Duffy,Brighton,Shane,Duffy,22,46,3.2,52,3.3,1422,5
Hünemeier,Brighton,Uwe,Hünemeier,4,39,6.9,1,1,17,0
Bruno,Brighton,Bruno,Saltor Grau,2,45,0.7,44,2.9,1262,4
Bong,Brighton,Gaëtan,Bong,3,44,0.1,17,2.4,630,0
Rosenior,Brighton,Liam,Rosenior,23,39,3.9,3,1,163,0
Goldson,Brighton,Connor,Goldson,18,39,1,0,0,0,0
Knockaert,Brighton,Anthony,Knockaert,11,57,0.7,43,2.9,1066,5
Stephens,Brighton,Dale,Stephens,6,45,1.6,40,2.5,1440,0
Kayal,Brighton,Beram,Kayal,7,44,0.1,0,0,0,0
Sidwell,Brighton,Steve,Sidwell,14,43,0.2,0,0,0,0
March,Brighton,Solomon,March,20,50,0.3,35,2.2,890,0
Skalak,Brighton,Jiri,Skalak,8,47,0,0,0,0,0
Norwood,Brighton,Oliver,Norwood,21,45,0,0,0,0,0
Murphy,Brighton,Jamie,Murphy,15,47,0,6,1.5,166,0
Groß,Brighton,Pascal,Groß,13,60,20.3,80,5,1323,14
Murray,Brighton,Glenn,Murray,17,58,3.4,46,3.3,899,6
Hemed,Brighton,Tomer,Hemed,10,48,1.3,30,3,484,5
Baldock,Brighton,Sam,Baldock,9,49,0,0,0,0,0
Heaton,Burnley,Tom,Heaton,1,48,1.9,8,2,305,0
Robinson,Burnley,Paul,Robinson,17,45,0,0,0,0,0
Lowton,Burnley,Matthew,Lowton,2,46,3,53,4.1,1170,2
Mee,Burnley,Ben,Mee,6,48,12.7,56,3.7,1350,6
Ward,Burnley,Stephen,Ward,23,52,25.2,75,4.7,1430,9
Tarkowski,Burnley,James,Tarkowski,5,46,3.3,56,3.5,1440,1
Long,Burnley,Kevin,Long,28,39,3.1,7,7,90,1
Taylor,Burnley,Charlie,Taylor,3,42,0.2,0,0,0,0
Arfield,Burnley,Scott,Arfield,37,49,0.2,31,3.4,645,6
Marney,Burnley,Dean,Marney,8,45,0,0,0,0,0
Gudmundsson,Burnley,Johann Berg,Gudmundsson,17,50,0.3,44,2.9,1064,0
Defour,Burnley,Steven,Defour,16,54,0.3,41,2.6,1325,0
