web_name,team_code,first_name,second_name,squad_number,now_cost,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,element_type,team
Ospina,3,David,Ospina,13,48,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1
Cech,3,Petr,Cech,33,54,0,4.9,84,3.7,2070,0,0,9,30,0,0,0,1,0,53,4,419,42.7,1,1
Martinez,3,Damian Emiliano,Martinez,26,40,0,0.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1
Koscielny,3,Laurent,Koscielny,6,60,2,1.6,76,4.2,1595,0,0,9,20,0,0,0,3,0,0,14,421,62.5,2,1
Mertesacker,3,Per,Mertesacker,4,48,1,0.5,15,3.0,351,1,0,0,7,0,0,0,0,0,0,2,77,15.7,2,1
Gabriel,3,Gabriel Armando,de Abreu,5,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1
Bellerín,3,Héctor,Bellerín,24,61,1,12.9,93,4.0,2070,2,2,9,30,0,0,0,3,0,0,7,442,116.5,2,1
Gibbs,35,Kieran,Gibbs,3,50,0,0.5,57,2.9,1716,0,2,5,25,0,0,0,1,0,0,1,307,66.7,2,19
Jenkinson,3,Carl,Jenkinson,25,45,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1
Monreal,3,Nacho,Monreal,18,56,1,4.7,85,4.5,1665,2,0,9,21,0,0,0,3,0,0,10,449,73.4,2,1
Holding,3,Rob,Holding,16,45,0,0.6,12,1.7,443,0,1,1,12,0,0,0,2,0,0,0,101,15.4,2,1
Mustafi,3,Shkodran,Mustafi,20,55,1,3.4,65,4.6,1139,2,0,7,12,0,0,0,2,0,0,6,335,63.5,2,1
Kolasinac,3,Sead,Kolasinac,31,59,1,7.3,78,4.6,1423,1,4,7,18,0,0,0,1,0,0,6,344,85.8,2,1
Sánchez,3,Alexis,Sánchez,7,118,2,2.8,97,5.1,1501,7,5,7,21,0,0,0,4,0,0,8,303,217.4,3,1
Walcott,3,Theo,Walcott,14,71,0,0.6,6,1.0,63,0,0,0,0,0,0,0,0,0,0,0,12,1.0,3,1
Özil,3,Mesut,Özil,11,93,2,2.1,81,4.5,1460,4,5,5,26,0,0,0,3,0,0,10,358,180.2,3,1
Cazorla,3,Santiago,Cazorla,19,69,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1
