Player,Pos,GP,GS,MP,G,A,SOG,S,YC,RC
"Agüero, Sergio",F,19,17,1518,16,5,32,77,1,0
"Sterling, Raheem",M,22,18,1668,14,4,23,55,2,1
Gabriel Jesus,F,18,12,1016,8,2,22,35,3,0
"Sané, Leroy",M,22,17,1548,7,10,14,36,4,0
"De Bruyne, Kevin",M,24,24,2060,6,10,28,61,1,0
"Silva, David",M,20,19,1698,5,8,13,38,4,0
"Otamendi, Nicolás",D,23,23,2051,4,0,9,25,7,0
Fernandinho,M,24,23,1995,2,3,13,30,6,0
"Gundogan, Ilkay",M,16,5,563,2,1,5,14,0,0
"Silva, Bernardo",M,22,6,678,2,3,7,11,0,0
Danilo ,D,13,7,741,1,1,4,8,1,0
"Delph, Fabian ",M,16,15,1285,1,1,2,9,1,0
"Bravo, Claudio ",G,1,0,45,0,0,0,0,0,0
"Díaz, Brahim ",M,1,0,3,0,0,0,0,0,0
Ederson Moraes ,G,24,24,2115,0,0,0,0,0,0
"Foden, Phil ",M,1,0,7,0,0,0,0,0,0
"Kompany, Vincent ",D,9,9,676,0,0,0,4,4,0
"Mangala, Eliaquim ",D,9,4,483,0,0,0,1,0,0
"Mendy, Benjamin ",D,4,4,299,0,1,0,2,2,0
"Stones, John ",D,15,14,1134,0,0,3,9,0,0
"Touré, Yaya ",M,5,0,89,0,1,0,1,1,0
"Walker, Kyle ",D,22,22,1934,0,5,0,8,2,1
"Zinchenko, Oleksandr ",M,2,1,107,0,0,0,1,0,0
