Date,HomeTeam,AwayTeam,Referee,HF,AF,TF,HY,AY,TY,HR,AR,TR
13/08/2016,Burnley,Swansea,J Moss,10,14,24,3,2,5,0,0,0
13/08/2016,Crystal Palace,West Brom,C Pawson,12,15,27,2,2,4,0,0,0
13/08/2016,Everton,Tottenham,M Atkinson,10,14,24,0,0,0,0,0,0
13/08/2016,Hull,Leicester,M Dean,8,17,25,2,2,4,0,0,0
13/08/2016,Man City,Sunderland,R Madley,11,14,25,1,2,3,0,0,0
13/08/2016,Middlesbrough,Stoke,K Friend,18,14,32,3,5,8,0,0,0
13/08/2016,Southampton,Watford,R East,8,12,20,1,2,3,0,1,1
14/08/2016,Arsenal,Liverpool,M Oliver,13,17,30,3,3,6,0,0,0
14/08/2016,Bournemouth,Man United,A Marriner,7,10,17,0,1,1,0,0,0
15/08/2016,Chelsea,West Ham,A Taylor,16,16,32,5,2,7,0,0,0
19/08/2016,Man United,Southampton,A Taylor,11,8,19,0,0,0,0,0,0
20/08/2016,Burnley,Liverpool,L Mason,14,5,19,0,1,1,0,0,0
20/08/2016,Leicester,Arsenal,M Clattenburg,11,7,18,1,2,3,0,0,0
20/08/2016,Stoke,Man City,M Dean,12,13,25,3,4,7,0,0,0
20/08/2016,Swansea,Hull,S Attwell,7,10,17,0,0,0,0,0,0
20/08/2016,Tottenham,Crystal Palace,M Oliver,19,9,28,3,3,6,0,0,0
20/08/2016,Watford,Chelsea,J Moss,20,10,30,4,3,7,0,0,0
20/08/2016,West Brom,Everton,N Swarbrick,16,10,26,3,1,4,0,0,0
21/08/2016,Sunderland,Middlesbrough,M Atkinson,11,14,25,1,1,2,0,0,0
21/08/2016,West Ham,Bournemouth,C Pawson,15,15,30,3,1,4,0,1,1
27/08/2016,Chelsea,Burnley,M Clattenburg,6,9,15,2,2,4,0,0,0
27/08/2016,Crystal Palace,Bournemouth,M Dean,15,10,25,2,1,3,0,0,0
27/08/2016,Everton,Stoke,M Oliver,14,11,25,2,1,3,0,0,0
27/08/2016,Hull,Man United,J Moss,9,6,15,2,3,5,0,0,0
27/08/2016,Leicester,Swansea,R East,14,10,24,2,2,4,0,0,0
27/08/2016,Southampton,Sunderland,L Mason,15,8,23,2,2,4,0,0,0
27/08/2016,Tottenham,Liverpool,R Madley,11,17,28,3,5,8,0,0,0
27/08/2016,Watford,Arsenal,K Friend,18,15,33,6,1,7,0,0,0
28/08/2016,Man City,West Ham,A Marriner,5,10,15,1,3,4,0,0,0
28/08/2016,West Brom,Middlesbrough,A Taylor,12,11,23,1,3,4,0,0,0
10/09/2016,Arsenal,Southampton,R Madley,10,8,18,2,5,7,0,0,0
10/09/2016,Bournemouth,West Brom,K Friend,9,11,20,1,3,4,0,0,0
10/09/2016,Burnley,Hull,P Tierney,13,3,16,2,0,2,0,0,0
10/09/2016,Liverpool,Leicester,C Pawson,4,8,12,1,2,3,0,0,0
10/09/2016,Man United,Man City,M Clattenburg,15,10,25,4,2,6,0,0,0
10/09/2016,Middlesbrough,Crystal Palace,N Swarbrick,5,9,14,1,2,3,0,0,0
10/09/2016,Stoke,Tottenham,A Taylor,13,18,31,3,2,5,0,0,0
10/09/2016,West Ham,Watford,M Atkinson,10,15,25,2,2,4,0,0,0
11/09/2016,Swansea,Chelsea,A Marriner,17,8,25,3,4,7,0,0,0
12/09/2016,Sunderland,Everton,M Jones,11,8,19,1,1,2,0,0,0
16/09/2016,Chelsea,Liverpool,M Atkinson,6,13,19,1,1,2,0,0,0
17/09/2016,Everton,Middlesbrough,L Mason,5,15,20,2,1,3,0,0,0
17/09/2016,Hull,Arsenal,R East,9,12,21,0,2,2,1,0,1
17/09/2016,Leicester,Burnley,A Taylor,10,9,19,0,1,1,0,0,0
17/09/2016,Man City,Bournemouth,J Moss,8,11,19,1,1,2,1,0,1
17/09/2016,West Brom,West Ham,M Clattenburg,14,6,20,2,1,3,0,0,0
18/09/2016,Crystal Palace,Stoke,C Pawson,15,9,24,2,1,3,0,0,0
18/09/2016,Southampton,Swansea,M Jones,14,9,23,1,1,2,0,0,0
18/09/2016,Tottenham,Sunderland,M Dean,7,16,23,1,5,6,0,1,1
18/09/2016,Watford,Man United,M Oliver,14,19,33,3,4,7,0,0,0
24/09/2016,Arsenal,Chelsea,M Oliver,9,11,20,0,2,2,0,0,0
24/09/2016,Bournemouth,Everton,R Madley,10,14,24,2,2,4,0,0,0
24/09/2016,Liverpool,Hull,A Marriner,8,8,16,1,2,3,0,1,1
24/09/2016,Man United,Leicester,M Dean,9,12,21,0,2,2,0,0,0
24/09/2016,Middlesbrough,Tottenham,G Scott,14,9,23,2,1,3,0,0,0
24/09/2016,Stoke,West Brom,M Atkinson,9,13,22,3,4,7,0,0,0
24/09/2016,Sunderland,Crystal Palace,A Taylor,15,12,27,0,2,2,0,0,0
24/09/2016,Swansea,Man City,N Swarbrick,15,9,24,2,4,6,0,0,0
25/09/2016,West Ham,Southampton,J Moss,9,14,23,5,2,7,0,0,0
26/09/2016,Burnley,Watford,M Jones,11,15,26,1,3,4,0,0,0
30/09/2016,Everton,Crystal Palace,J Moss,16,11,27,5,4,9,0,0,0
01/10/2016,Hull,Chelsea,A Taylor,13,15,28,2,2,4,0,0,0
01/10/2016,Sunderland,West Brom,S Attwell,7,13,20,1,3,4,0,0,0
01/10/2016,Swansea,Liverpool,M Oliver,11,9,20,2,2,4,0,0,0
01/10/2016,Watford,Bournemouth,M Dean,17,12,29,3,4,7,0,0,0
01/10/2016,West Ham,Middlesbrough,N Swarbrick,13,12,25,2,3,5,0,0,0
02/10/2016,Burnley,Arsenal,C Pawson,2,3,5,0,0,0,0,0,0
02/10/2016,Leicester,Southampton,M Atkinson,9,9,18,1,0,1,0,0,0
02/10/2016,Man United,Stoke,R Madley,14,9,23,3,0,3,0,0,0
02/10/2016,Tottenham,Man City,A Marriner,20,10,30,2,2,4,0,0,0
15/10/2016,Arsenal,Swansea,J Moss,7,10,17,0,1,1,1,0,1
15/10/2016,Bournemouth,Hull,L Mason,8,14,22,0,3,3,0,0,0
15/10/2016,Chelsea,Leicester,A Marriner,6,12,18,1,1,2,0,0,0
15/10/2016,Crystal Palace,West Ham,M Atkinson,12,13,25,1,3,4,0,1,1
15/10/2016,Man City,Everton,M Oliver,7,9,16,0,2,2,0,0,0
15/10/2016,Stoke,Sunderland,M Jones,10,13,23,1,1,2,0,0,0
15/10/2016,West Brom,Tottenham,K Friend,14,10,24,2,2,4,0,0,0
16/10/2016,Middlesbrough,Watford,R East,15,10,25,4,1,5,0,0,0
16/10/2016,Southampton,Burnley,M Dean,11,10,21,1,2,3,0,0,0
17/10/2016,Liverpool,Man United,A Taylor,14,20,34,0,4,4,0,0,0
22/10/2016,Arsenal,Middlesbrough,M Dean,6,13,19,1,0,1,0,0,0
22/10/2016,Bournemouth,Tottenham,C Pawson,10,15,25,2,4,6,0,0,0
22/10/2016,Burnley,Everton,M Jones,16,15,31,2,3,5,0,0,0
22/10/2016,Hull,Stoke,K Friend,16,8,24,2,3,5,0,0,0
22/10/2016,Leicester,Crystal Palace,M Oliver,10,8,18,0,0,0,0,0,0
