Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
13/08/2016,Burnley,Swansea,0,1,J Moss
13/08/2016,Crystal Palace,West Brom,0,1,C Pawson
13/08/2016,Everton,Tottenham,1,1,M Atkinson
13/08/2016,Hull,Leicester,2,1,M Dean
13/08/2016,Man City,Sunderland,2,1,R Madley
13/08/2016,Middlesbrough,Stoke,1,1,K Friend
13/08/2016,Southampton,Watford,1,1,R East
14/08/2016,Arsenal,Liverpool,3,4,M Oliver
14/08/2016,Bournemouth,Man United,1,3,A Marriner
15/08/2016,Chelsea,West Ham,2,1,A Taylor
19/08/2016,Man United,Southampton,2,0,A Taylor
20/08/2016,Burnley,Liverpool,2,0,L Mason
20/08/2016,Leicester,Arsenal,0,0,M Clattenburg
20/08/2016,Stoke,Man City,1,4,M Dean
20/08/2016,Swansea,Hull,0,2,S Attwell
20/08/2016,Tottenham,Crystal Palace,1,0,M Oliver
20/08/2016,Watford,Chelsea,1,2,J Moss
20/08/2016,West Brom,Everton,1,2,N Swarbrick
21/08/2016,Sunderland,Middlesbrough,1,2,M Atkinson
21/08/2016,West Ham,Bournemouth,1,0,C Pawson
27/08/2016,Chelsea,Burnley,3,0,M Clattenburg
27/08/2016,Crystal Palace,Bournemouth,1,1,M Dean
27/08/2016,Everton,Stoke,1,0,M Oliver
27/08/2016,Hull,Man United,0,1,J Moss
27/08/2016,Leicester,Swansea,2,1,R East
27/08/2016,Southampton,Sunderland,1,1,L Mason
27/08/2016,Tottenham,Liverpool,1,1,R Madley
27/08/2016,Watford,Arsenal,1,3,K Friend
28/08/2016,Man City,West Ham,3,1,A Marriner
28/08/2016,West Brom,Middlesbrough,0,0,A Taylor
10/09/2016,Arsenal,Southampton,2,1,R Madley
10/09/2016,Bournemouth,West Brom,1,0,K Friend
10/09/2016,Burnley,Hull,1,1,P Tierney
10/09/2016,Liverpool,Leicester,4,1,C Pawson
10/09/2016,Man United,Man City,1,2,M Clattenburg
10/09/2016,Middlesbrough,Crystal Palace,1,2,N Swarbrick
10/09/2016,Stoke,Tottenham,0,4,A Taylor
10/09/2016,West Ham,Watford,2,4,M Atkinson
11/09/2016,Swansea,Chelsea,2,2,A Marriner
12/09/2016,Sunderland,Everton,0,3,M Jones
16/09/2016,Chelsea,Liverpool,1,2,M Atkinson
17/09/2016,Everton,Middlesbrough,3,1,L Mason
17/09/2016,Hull,Arsenal,1,4,R East
17/09/2016,Leicester,Burnley,3,0,A Taylor
17/09/2016,Man City,Bournemouth,4,0,J Moss
17/09/2016,West Brom,West Ham,4,2,M Clattenburg
18/09/2016,Crystal Palace,Stoke,4,1,C Pawson
18/09/2016,Southampton,Swansea,1,0,M Jones
18/09/2016,Tottenham,Sunderland,1,0,M Dean
18/09/2016,Watford,Man United,3,1,M Oliver
24/09/2016,Arsenal,Chelsea,3,0,M Oliver
24/09/2016,Bournemouth,Everton,1,0,R Madley
24/09/2016,Liverpool,Hull,5,1,A Marriner
24/09/2016,Man United,Leicester,4,1,M Dean
24/09/2016,Middlesbrough,Tottenham,1,2,G Scott
24/09/2016,Stoke,West Brom,1,1,M Atkinson
24/09/2016,Sunderland,Crystal Palace,2,3,A Taylor
24/09/2016,Swansea,Man City,1,3,N Swarbrick
25/09/2016,West Ham,Southampton,0,3,J Moss
26/09/2016,Burnley,Watford,2,0,M Jones
30/09/2016,Everton,Crystal Palace,1,1,J Moss
01/10/2016,Hull,Chelsea,0,2,A Taylor
01/10/2016,Sunderland,West Brom,1,1,S Attwell
01/10/2016,Swansea,Liverpool,1,2,M Oliver
01/10/2016,Watford,Bournemouth,2,2,M Dean
01/10/2016,West Ham,Middlesbrough,1,1,N Swarbrick
02/10/2016,Burnley,Arsenal,0,1,C Pawson
02/10/2016,Leicester,Southampton,0,0,M Atkinson
02/10/2016,Man United,Stoke,1,1,R Madley
02/10/2016,Tottenham,Man City,2,0,A Marriner
15/10/2016,Arsenal,Swansea,3,2,J Moss
15/10/2016,Bournemouth,Hull,6,1,L Mason
15/10/2016,Chelsea,Leicester,3,0,A Marriner
15/10/2016,Crystal Palace,West Ham,0,1,M Atkinson
15/10/2016,Man City,Everton,1,1,M Oliver
15/10/2016,Stoke,Sunderland,2,0,M Jones
15/10/2016,West Brom,Tottenham,1,1,K Friend
16/10/2016,Middlesbrough,Watford,0,1,R East
16/10/2016,Southampton,Burnley,3,1,M Dean
