Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool,entities,URL,Hashtags,Video
"Which #UCL comebacks stick in your mind &amp; why? 🤔

#MatchdayLive",03/05/2022 14:09,1.52149E+18,ChampionsLeague,,,12,171,en,Twitter Web App,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [6, 10]}, {'text': 'MatchdayLive', 'indices': [54, 67]}], 'symbols': [], 'user_mentions': [], 'urls': []}",www.twitter.com/championsleague/status/1521492079045656578,"UCL, MatchdayLive",
"🔴 Thomas Müller signs new Bayern deal until 2024 ✍️

He made his @FCBayern debut in 2008... &amp; he's only 32! 👊… https://t.co/z3mj35wl7B",03/05/2022 13:19,1.52148E+18,ChampionsLeague,,,103,1563,de,Twitter Web App,,,FALSE,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FCBayern', 'name': 'FC Bayern München', 'id': 773069256, 'id_str': '773069256', 'indices': [65, 74]}], 'urls': [{'url': 'https://t.co/z3mj35wl7B', 'expanded_url': 'https://twitter.com/i/web/status/1521479441158918144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",www.twitter.com/championsleague/status/1521479441158918144,,
"🔴 Mesmerising 🪄 

@Thiago6 was on another level at Anfield 🥵 

@LFC | #UCL https://t.co/hWdubIysXU",03/05/2022 13:09,1.52148E+18,ChampionsLeague,,,219,2208,en,Twitter Media Studio,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [70, 74]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Thiago6', 'name': 'Thiago Alcantara', 'id': 152987149, 'id_str': '152987149', 'indices': [18, 26]}, {'screen_name': 'LFC', 'name': 'Liverpool FC', 'id': 19583545, 'id_str': '19583545', 'indices': [63, 67]}], 'urls': [], 'media': [{'id': 1521476234164809728, 'id_str': '1521476234164809728', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1521476234164809728/img/naOjVzZjEf_pdF4l.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1521476234164809728/img/naOjVzZjEf_pdF4l.jpg', 'url': 'https://t.co/hWdubIysXU', 'display_url': 'pic.twitter.com/hWdubIysXU', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521477034752548867/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521477034752548867,UCL,TRUE
"🗣️ ""I believe that a great team that wins major titles starts with a top goalkeeper.""

Check out our player focus w… https://t.co/DhHjdYOrKi",03/05/2022 12:53,1.52147E+18,ChampionsLeague,,,75,936,en,Twitter for Advertisers,,,FALSE,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DhHjdYOrKi', 'expanded_url': 'https://twitter.com/i/web/status/1521473118212079617', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",www.twitter.com/championsleague/status/1521473118212079617,,
"What are you going for in the second legs? 🔮 🤔

#UCLpredictor | @PlayStationEU | #UCL",03/05/2022 12:40,1.52147E+18,ChampionsLeague,,,45,675,en,Twitter for Advertisers,,,FALSE,"{'hashtags': [{'text': 'UCLpredictor', 'indices': [48, 61]}, {'text': 'UCL', 'indices': [81, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PlayStationEU', 'name': 'PlayStation Europe', 'id': 36969785, 'id_str': '36969785', 'indices': [64, 78]}], 'urls': []}",www.twitter.com/championsleague/status/1521469818372771840,"UCLpredictor, UCL",
"Hear the Kopites sing... 🎶

#UCL 

* 2021/22 stats https://t.co/jIpili58kM",03/05/2022 12:05,1.52146E+18,ChampionsLeague,,,159,2350,en,Twitter Web App,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [28, 32]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521460564454739968, 'id_str': '1521460564454739968', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/FR1QUoQXEAAaSOx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FR1QUoQXEAAaSOx.jpg', 'url': 'https://t.co/jIpili58kM', 'display_url': 'pic.twitter.com/jIpili58kM', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521460896647811073/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521460896647811073,UCL,
"Check out the official #UCL Playlist 🎶

The best global tracks and artists, including the iconic Champions League a… https://t.co/rf51sMf9ay",03/05/2022 11:07,1.52145E+18,ChampionsLeague,,,48,501,en,Twitter Web App,1.52145E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [23, 27]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rf51sMf9ay', 'expanded_url': 'https://twitter.com/i/web/status/1521446356665184256', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",www.twitter.com/championsleague/status/1521446356665184256,UCL,
"Goosebumps...

Nothing like that #UCLfeeling ✨ https://t.co/kDcsBdZUvA",03/05/2022 11:02,1.52145E+18,ChampionsLeague,,,93,1110,en,Twitter Web App,,,TRUE,"{'hashtags': [{'text': 'UCLfeeling', 'indices': [33, 44]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kDcsBdZUvA', 'expanded_url': 'https://twitter.com/VillarrealCFen/status/1521429366105944066', 'display_url': 'twitter.com/VillarrealCFen…', 'indices': [47, 70]}]}",www.twitter.com/championsleague/status/1521445144247087104,UCLfeeling,
"💛 Lo Celso loving life at Villarreal 😀

#UCL https://t.co/kAhM4Ljffx",03/05/2022 10:36,1.52144E+18,ChampionsLeague,,,64,1199,en,Twitter Web App,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [40, 44]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521438219488870407, 'id_str': '1521438219488870407', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521438219488870407/pu/img/a7jgXMKQbrXqfTMn.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521438219488870407/pu/img/a7jgXMKQbrXqfTMn.jpg', 'url': 'https://t.co/kAhM4Ljffx', 'display_url': 'pic.twitter.com/kAhM4Ljffx', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521438429120286720/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521438429120286720,UCL,TRUE
"🇦🇷 Happy birthday, Ezequiel Lavezzi! 🎉
Some serious finishes here... 🤤

#UCL https://t.co/gHVlf13Hdg",03/05/2022 09:09,1.52142E+18,ChampionsLeague,,,140,1672,en,Twitter Media Studio,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [72, 76]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521133028764004359, 'id_str': '1521133028764004359', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1521133028764004359/img/JJHKdRPw2pTZa5At.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1521133028764004359/img/JJHKdRPw2pTZa5At.jpg', 'url': 'https://t.co/gHVlf13Hdg', 'display_url': 'pic.twitter.com/gHVlf13Hdg', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521416522761187331/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521416522761187331,UCL,TRUE
