Player,GP,GS,MP,G,A,SOG,S,YC,RC
Lukaku,23,23,1994,11,5,31,65,3,0
Martial,22,13,1087,9,4,14,35,1,0
Lingard,20,11,1084,7,4,14,32,2,0
Rashford,24,13,1308,4,5,15,47,2,0
Fellaini,11,3,401,3,0,6,6,1,0
Mata,19,17,1337,3,3,10,21,0,0
Pogba,14,14,1224,3,9,11,44,2,1
Valencia,20,20,1776,3,0,3,12,4,0
Young,18,17,1522,2,3,3,16,4,0
Bailly,8,8,720,1,0,1,3,2,0
Mkhitaryan,15,11,931,1,5,5,15,2,0
Smalling,16,15,1365,1,0,1,7,2,0
Blind,5,3,274,0,0,0,3,0,0
Darmian,4,2,195,0,0,0,2,0,0
De Gea,24,24,2160,0,0,0,0,0,0
Herrera,18,8,853,0,1,1,9,4,0
Ibrahimovic,5,1,102,0,0,1,4,0,0
Jones,19,19,1615,0,0,0,2,1,0
Lindelof,10,7,743,0,0,0,0,1,0
Matic,24,24,2124,0,1,1,13,4,0
McTominay,3,1,101,0,0,0,0,0,0
Rojo,6,5,384,0,0,1,4,5,0
Shaw,5,5,443,0,0,2,8,1,0
Tuanzebe,1,0,1,0,0,0,0,0,0
