Number,Player,Born,Age,Market value,Team
1,Junling Yan Keeper,"Jan 28, 1991",26,£510k,Shanghai SIPG
22,Le Sun Keeper,"Sep 17, 1989",27,£43k,Shanghai SIPG
34,Wei Chen Keeper,"Feb 14, 1998",19,£21k,Shanghai SIPG
35,Xiaodong Shi Keeper,"Feb 26, 1997",20,£21k,Shanghai SIPG
16,Ricardo Carvalho Centre-Back,"May 18, 1978",38,£340k,Shanghai SIPG
27,Ke Shi Centre-Back,"Jan 8, 1993",24,£276k,Shanghai SIPG
13,Zhen Wei Centre-Back,"Feb 12, 1997",20,£21k,Shanghai SIPG
36,Hao Yu Centre-Back,"Sep 5, 1997",19,£21k,Shanghai SIPG
4,Shenchao Wang  Left-Back,"Feb 8, 1989",28,£319k,Shanghai SIPG
2,Wei Zhang Left-Back,"Mar 28, 1993",23,£64k,Shanghai SIPG
29,Zhiyun Zheng Left-Back,"Feb 17, 1995",22,£43k,Shanghai SIPG
23,Huan Fu Right-Back,"Jul 12, 1993",23,£298k,Shanghai SIPG
28,Guan He Right-Back,"Jan 25, 1993",24,£106k,Shanghai SIPG
24,Wenjie Lei Midfield,"Jan 10, 1997",20,£21k,Shanghai SIPG
26,Haisheng Gao Midfield,"Jan 6, 1997",20,£21k,Shanghai SIPG
31,Zilei Jiang Midfield,"Sep 10, 1997",19,£21k,Shanghai SIPG
25,Odil Akhmedov Defensive Midfield,"Nov 25, 1987",29,£4.68m,Shanghai SIPG
6,Huikang Cai Defensive Midfield,"Oct 10, 1989",27,£595k,Shanghai SIPG
5,Jiajie Wang Defensive Midfield,"Nov 15, 1988",28,£149k,Shanghai SIPG
17,Huachen Zhang Defensive Midfield,"Mar 16, 1998",18,£43k,Shanghai SIPG
21,Hai Yu Central Midfield,"Jun 4, 1987",29,£468k,Shanghai SIPG
18,Yi Zhang Central Midfield,"Aug 17, 1993",23,£21k,Shanghai SIPG
8,Oscar Attacking Midfield,"Sep 9, 1991",25,£21.25m,Shanghai SIPG
19,Tianzi Jia Attacking Midfield,"Feb 28, 1994",23,£43k,Shanghai SIPG
14,Shenglong Li Striker,"Jul 30, 1992",24,£43k,Shanghai SIPG
30,Zhijie Gao Striker,"Jun 16, 1997",19,£21k,Shanghai SIPG
37,Binbin Chen Striker,"Jun 10, 1998",18,£21k,Shanghai SIPG
11,Wenjun Lü Left Wing,"Mar 11, 1989",28,£298k,Shanghai SIPG
15,Chuangyi Lin Left Wing,"Jan 28, 1993",24,£85k,Shanghai SIPG
33,Shihao Wei Left Wing,"Apr 8, 1995",21,£43k,Shanghai SIPG
10,Hulk Right Wing,"Jul 25, 1986",30,£18.70m,Shanghai SIPG
7,Lei Wu Right Wing,"Nov 19, 1991",25,£1.28m,Shanghai SIPG
9,Elkeson Centre-Forward,"Jul 13, 1989",27,£4.42m,Shanghai SIPG
19,Cheng Zeng Keeper,"Jan 8, 1987",30,£510k,Guangzhou Evergrande Taobao
32,Dianzuo Liu Keeper,"Jun 26, 1990",26,£170k,Guangzhou Evergrande Taobao
13,Jingqi Fang Keeper,"Jan 17, 1993",24,£43k,Guangzhou Evergrande Taobao
39,Tianci Zhao Keeper,"Mar 20, 1995",21,£21k,Guangzhou Evergrande Taobao
23,Hyung-Il Kim Centre-Back,"Apr 27, 1984",32,£553k,Guangzhou Evergrande Taobao
6,Xiaoting Feng Centre-Back,"Oct 22, 1985",31,£531k,Guangzhou Evergrande Taobao
3,Fang Mei Centre-Back,"Nov 14, 1989",27,£425k,Guangzhou Evergrande Taobao
17,Jian Liu Centre-Back,"Jan 20, 1985",32,£128k,Guangzhou Evergrande Taobao
31,Yuduo Wu Centre-Back,"May 3, 1995",21,£21k,Guangzhou Evergrande Taobao
35,Xuepeng Li Left-Back,"Sep 18, 1988",28,£340k,Guangzhou Evergrande Taobao
14,Hao Rong Left-Back,"Apr 7, 1987",29,£298k,Guangzhou Evergrande Taobao
25,Zheng Zou Left-Back,"Feb 7, 1988",29,£170k,Guangzhou Evergrande Taobao
21,Chenglin Zhang Left-Back,"Jan 20, 1987",30,£128k,Guangzhou Evergrande Taobao
37,Zepeng Chen Left-Back,"May 18, 1996",20,£64k,Guangzhou Evergrande Taobao
38,Jiabao Wen Left-Back,"Jan 2, 1999",18,£21k,Guangzhou Evergrande Taobao
5,Linpeng Zhang Right-Back,"May 9, 1989",27,£850k,Guangzhou Evergrande Taobao
