name,points,selected_by_percent,cost,team,minutes,goals,assists,clean_sheets,bonus,position
Leno,131,2.3,5.0,Arsenal,3131,0,0,11,11,Goalkeeper
Rúnarsson,1,1.2,4.0,Arsenal,15,0,0,0,0,Goalkeeper
Willian,78,0.3,6.5,Arsenal,1398,1,7,3,9,Midfielder
Aubameyang,131,3.8,10.0,Arsenal,2330,10,3,10,11,Forward
Cédric,28,0.3,4.5,Arsenal,744,0,1,2,3,Defender
Lacazette,129,4.6,8.5,Arsenal,1916,13,3,7,21,Forward
Xhaka,70,0.7,5.0,Arsenal,2519,1,2,10,1,Midfielder
Marí,34,0.2,4.5,Arsenal,900,0,0,4,1,Defender
Bellerín,94,0.9,5.0,Arsenal,2089,1,3,7,17,Defender
Chambers,36,0.7,4.5,Arsenal,751,0,3,2,3,Defender
Kolasinac,0,0.2,4.5,Arsenal,0,0,0,0,0,Defender
Elneny,50,0.6,4.5,Arsenal,1538,1,0,5,3,Midfielder
Maitland-Niles,68,0.1,5.5,Arsenal,1714,0,2,6,1,Midfielder
Holding,105,3.1,4.5,Arsenal,2557,0,1,11,10,Defender
Partey,47,0.3,5.0,Arsenal,1529,0,2,6,0,Midfielder
Tierney,96,8.5,5.0,Arsenal,2299,1,4,8,4,Defender
Pépé,114,3.5,7.5,Arsenal,1606,10,3,4,11,Midfielder
Torreira,0,0.4,4.5,Arsenal,0,0,0,0,0,Midfielder
Willock,79,0.6,6.0,Arsenal,1210,8,0,4,5,Midfielder
Nketiah,36,0.5,5.5,Arsenal,411,2,1,1,5,Forward
Smith Rowe,74,7.9,5.5,Arsenal,1438,2,5,9,3,Midfielder
Saka,114,14.9,6.5,Arsenal,2554,5,5,8,8,Midfielder
Gabriel,78,0.4,5.0,Arsenal,1996,2,0,6,7,Defender
Mavropanos,0,0.0,4.5,Arsenal,0,0,0,0,0,Defender
Guendouzi,0,0.0,4.5,Arsenal,0,0,0,0,0,Midfielder
Martinelli,36,0.3,5.5,Arsenal,582,2,1,4,0,Midfielder
Saliba,0,0.0,4.5,Arsenal,0,0,0,0,0,Defender
White,104,23.8,4.5,Arsenal,3192,0,0,12,5,Defender
Tavares,0,0.5,4.5,Arsenal,0,0,0,0,0,Defender
Sambi Lokonga,0,0.2,5.0,Arsenal,0,0,0,0,0,Midfielder
Steer,0,1.0,4.0,Aston Villa,0,0,0,0,0,Goalkeeper
Hourihane,0,0.1,5.0,Aston Villa,0,0,0,0,0,Midfielder
Martínez,186,39.0,5.5,Aston Villa,3420,0,0,15,27,Goalkeeper
Engels,0,0.0,4.5,Aston Villa,0,0,0,0,0,Defender
